sample,status
GSM813533,Normal
GSM813534,Normal
GSM813535,Normal
GSM813536,Normal
GSM813537,Normal
GSM813538,Normal
GSM813539,Normal
GSM813540,Normal
GSM813541,Normal
GSM813542,Normal
GSM813543,Normal
GSM813544,Normal
GSM813545,Normal
GSM813546,Normal
GSM813547,Normal
GSM813548,Normal
GSM813549,Normal
GSM813550,Normal
GSM813551,Normal
GSM813552,Normal
GSM813553,Normal
GSM813554,Normal
GSM813555,Normal
GSM813556,Normal
GSM813557,Normal
GSM813558,Normal
GSM813559,Normal
GSM813560,Tumor
GSM813561,Tumor
GSM813562,Tumor
GSM813563,Tumor
GSM813564,Tumor
GSM813565,Tumor
GSM813566,Tumor
GSM813567,Tumor
GSM813568,Tumor
GSM813569,Tumor
GSM813570,Tumor
GSM813571,Tumor
GSM813572,Tumor
GSM813573,Tumor
GSM813574,Tumor
GSM813575,Tumor
GSM813576,Tumor
GSM813577,Tumor
GSM813578,Tumor
GSM813579,Tumor
GSM813580,Tumor
GSM813581,Tumor
GSM813582,Tumor
GSM813583,Tumor
GSM813584,Tumor
GSM813585,Tumor
GSM813586,Tumor
GSM813587,Tumor
